City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Sao Filipe,CV,77.22,broken clouds,14.8961,-24.4956,Hotel Xaguate
6,Albany,US,77.88,few clouds,42.6001,-73.9662,Hilton Garden Inn Albany Medical Center
11,Qinhuangdao,CN,79.48,overcast clouds,39.9317,119.5883,Gloria Resort （Southwest Gate）
13,Georgetown,MY,80.4,overcast clouds,5.4112,100.3354,Cititel Penang
15,Lixourion,GR,75.96,clear sky,38.2019,20.4314,Avithos Resort Kefalonia
18,Kapaa,US,80.47,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Bukachacha,RU,78.28,clear sky,52.9833,116.9167,Gostinitsa
22,Faanui,PF,77.7,few clouds,-16.4833,-151.75,InterContinental Bora Bora Resort Thalasso Spa
23,Bethel,US,83.48,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
25,Vaini,TO,77.16,few clouds,-21.2,-175.2,Little Italy Hotel
36,Vertientes,CU,79.41,clear sky,21.2594,-78.1464,Tararaco
37,Butaritari,KI,82.45,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
38,Auki,SB,83.88,scattered clouds,-8.7676,160.7034,Auki Motel
39,Hami,CN,75.11,moderate rain,42.8,93.45,Post And Telecommunication Hotel
40,Makakilo City,US,81.68,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
41,La Ciotat,FR,79.81,clear sky,43.1748,5.6045,ibis La Ciotat
42,Tarragona,ES,75.38,clear sky,41.129,1.249,Hotel SB Ciutat de Tarragona
49,Petersburg,US,82.81,overcast clouds,37.2279,-77.4019,Hilton Garden Inn Richmond South/Southpark
50,Hilo,US,84.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
52,Jamestown,US,76.64,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
60,Bengkulu,ID,78.01,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
67,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Scenic Matavai Resort Niue
69,Pouebo,NC,78.22,overcast clouds,-20.4,164.5667,Relais de Ouane Batch
81,Alvorada,BR,75.51,clear sky,-12.48,-49.1247,Cristal Plaza Hotel
84,Thompson,CA,77.16,smoke,55.7435,-97.8558,Burntwood Hotel
86,Ust-Maya,RU,80.47,overcast clouds,60.4167,134.5333,
89,Meulaboh,ID,77.18,broken clouds,4.1363,96.1285,Kost Pria
93,Pundaguitan,PH,82.35,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
94,Umm Lajj,SA,84.76,overcast clouds,25.0213,37.2685,Moon light Furnished Units
96,Atuona,PF,78.15,broken clouds,-9.8,-139.0333,Villa Enata
101,Bridlington,GB,78.89,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
104,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,Hilton Salalah Resort
108,Banda Aceh,ID,81.21,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
109,Jensen Beach,US,84.04,clear sky,27.2545,-80.2298,"Marriott Hutchinson Island Beach Resort, Golf & Marina"
111,Ingham,US,81.86,broken clouds,42.6,-84.3833,Sycamore Village
