City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kurya,RU,51.6003,82.2888,59.92,70,0,5.23,clear sky
1,Bredasdorp,ZA,-34.5322,20.0403,46.02,87,12,3.96,few clouds
2,Portland,US,45.5234,-122.6762,92.98,39,0,10.36,clear sky
3,Sao Filipe,CV,14.8961,-24.4956,77.22,83,74,8.52,broken clouds
4,Lavrentiya,RU,65.5833,-171.0,44.02,62,67,8.21,broken clouds
5,Honningsvag,NO,70.9821,25.9704,51.55,87,100,9.22,overcast clouds
6,Albany,US,42.6001,-73.9662,77.88,75,23,5.35,few clouds
7,Busselton,AU,-33.65,115.3333,58.42,77,100,12.5,overcast clouds
8,Timra,SE,62.487,17.3257,54.68,82,100,5.75,overcast clouds
9,Shestakovo,RU,56.4915,103.96,59.31,89,100,4.54,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,46.47,74,97,3.98,overcast clouds
11,Qinhuangdao,CN,39.9317,119.5883,79.48,74,100,9.33,overcast clouds
12,Chokurdakh,RU,70.6333,147.9167,46.24,62,100,6.22,overcast clouds
13,Georgetown,MY,5.4112,100.3354,80.4,81,89,2.51,overcast clouds
14,Saint-Augustin,CA,51.226,-58.6502,55.15,92,100,20.58,overcast clouds
15,Lixourion,GR,38.2019,20.4314,75.96,52,0,6.69,clear sky
16,Talnakh,RU,69.4865,88.3972,56.21,48,100,2.62,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,38.86,81,75,4.61,broken clouds
18,Kapaa,US,22.0752,-159.319,80.47,74,73,5.01,broken clouds
19,Sitka,US,57.0531,-135.33,55.29,82,100,12.66,overcast clouds
20,Bukachacha,RU,52.9833,116.9167,78.28,41,7,4.38,clear sky
21,Hermanus,ZA,-34.4187,19.2345,51.75,76,24,3.62,few clouds
22,Faanui,PF,-16.4833,-151.75,77.7,67,21,6.29,few clouds
23,Bethel,US,41.3712,-73.414,83.48,71,100,3.18,overcast clouds
24,East London,ZA,-33.0153,27.9116,63.97,83,96,13.91,light rain
25,Vaini,TO,-21.2,-175.2,77.16,83,20,12.66,few clouds
26,Victoria,HK,22.2855,114.1577,89.65,76,97,8.99,overcast clouds
27,Kodiak,US,57.79,-152.4072,52.16,91,100,5.17,light rain
28,Dunedin,NZ,-45.8742,170.5036,44.6,86,100,6.55,overcast clouds
29,Lysva,RU,58.1086,57.8053,56.88,98,87,6.13,overcast clouds
30,Uige,AO,-7.6087,15.0613,62.69,83,0,1.3,clear sky
31,Kushima,JP,31.4583,131.2333,86.67,72,99,10.71,light rain
32,Nikolskoye,RU,59.7035,30.7861,52.81,93,92,7.61,overcast clouds
33,Punta Arenas,CL,-53.15,-70.9167,35.71,87,75,43.73,light rain
34,Arraial Do Cabo,BR,-22.9661,-42.0278,70.2,90,0,13.96,clear sky
35,Kachug,RU,53.9606,105.8817,54.46,98,100,4.21,moderate rain
36,Vertientes,CU,21.2594,-78.1464,79.41,81,0,12.19,clear sky
37,Butaritari,KI,3.0707,172.7902,82.45,77,100,14.85,overcast clouds
38,Auki,SB,-8.7676,160.7034,83.88,68,50,4.07,scattered clouds
39,Hami,CN,42.8,93.45,75.11,31,100,12.59,moderate rain
40,Makakilo City,US,21.3469,-158.0858,81.68,62,8,18.48,clear sky
41,La Ciotat,FR,43.1748,5.6045,79.81,63,0,0.81,clear sky
42,Tarragona,ES,41.129,1.249,75.38,73,0,4.61,clear sky
43,Byron Bay,AU,-28.65,153.6167,58.71,68,97,15.75,overcast clouds
44,Teodoro Sampaio,BR,-22.5325,-52.1675,72.9,49,57,4.92,broken clouds
45,Provideniya,RU,64.3833,-173.3,53.71,62,0,7.0,clear sky
46,Bluff,NZ,-46.6,168.3333,46.8,69,100,9.98,overcast clouds
47,Butembo,CD,0.15,29.2833,56.01,91,88,1.66,overcast clouds
48,Rikitea,PF,-23.1203,-134.9692,74.26,76,6,8.41,clear sky
49,Petersburg,US,37.2279,-77.4019,82.81,79,100,5.75,overcast clouds
50,Hilo,US,19.7297,-155.09,84.27,70,40,10.36,scattered clouds
51,Barrow,US,71.2906,-156.7887,44.62,70,0,17.27,clear sky
52,Jamestown,US,42.097,-79.2353,76.64,75,0,5.75,clear sky
53,Umba,RU,66.6871,34.3429,54.1,90,100,15.26,overcast clouds
54,Teeli,RU,51.0333,90.2333,55.2,58,86,1.21,overcast clouds
55,Opuwo,NA,-18.0607,13.84,54.25,51,0,2.17,clear sky
56,Upernavik,GL,72.7868,-56.1549,45.77,74,83,1.39,broken clouds
57,Kruisfontein,ZA,-34.0033,24.7314,50.88,92,100,11.34,moderate rain
58,Hobart,AU,-42.8794,147.3294,48.25,73,20,8.05,few clouds
59,Caravelas,BR,-17.7125,-39.2481,70.56,87,1,5.08,clear sky
60,Bengkulu,ID,-3.8004,102.2655,78.01,87,95,2.55,overcast clouds
61,Suntar,RU,62.1444,117.6319,59.32,89,100,7.4,overcast clouds
62,Kargasok,RU,59.0556,80.8572,56.34,93,94,4.07,overcast clouds
63,Necochea,AR,-38.5473,-58.7368,47.66,46,0,15.48,clear sky
64,De-Kastri,RU,51.4667,140.7833,63.46,79,100,4.05,moderate rain
65,Zhezkazgan,KZ,47.8043,67.7144,67.98,32,20,6.71,few clouds
66,Maridi,SS,4.9158,29.4742,65.52,93,95,3.29,overcast clouds
67,Alofi,NU,-19.0595,-169.9187,78.69,69,40,20.71,scattered clouds
68,Port Alfred,ZA,-33.5906,26.891,57.18,96,100,3.0,light rain
69,Pouebo,NC,-20.4,164.5667,78.22,77,100,5.7,overcast clouds
70,Nushki,PK,29.5542,66.0215,85.69,51,80,4.56,broken clouds
71,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,5.75,broken clouds
72,Cape Town,ZA,-33.9258,18.4232,58.37,79,20,5.75,few clouds
73,Haines Junction,CA,60.7522,-137.5108,53.13,74,100,6.87,overcast clouds
74,Selma,US,36.5708,-119.6121,106.02,18,0,6.91,clear sky
75,Jackson,US,42.4165,-122.8345,98.71,20,0,10.36,clear sky
76,Port Macquarie,AU,-31.4333,152.9167,60.89,59,90,7.74,overcast clouds
77,Amparafaravola,MG,-17.5833,48.2167,58.64,77,87,14.63,overcast clouds
78,Nelson,NZ,-41.2833,173.2833,55.29,98,28,1.34,scattered clouds
79,Khatanga,RU,71.9667,102.5,46.85,53,100,19.17,overcast clouds
80,Geraldton,AU,-28.7667,114.6,59.41,77,77,12.66,broken clouds
81,Alvorada,BR,-12.48,-49.1247,75.51,42,5,2.93,clear sky
82,Cabo San Lucas,MX,22.8909,-109.9124,91.62,65,40,8.05,scattered clouds
83,Laguna,US,38.421,-121.4238,104.31,17,0,13.8,clear sky
84,Thompson,CA,55.7435,-97.8558,77.16,50,75,4.61,smoke
85,Saint George,US,37.1041,-113.5841,105.26,18,0,8.01,clear sky
86,Ust-Maya,RU,60.4167,134.5333,80.47,42,98,9.6,overcast clouds
87,Okhotsk,RU,59.3833,143.3,61.7,80,96,6.24,overcast clouds
88,Antipolo,PH,14.5864,121.1753,87.98,70,75,6.91,broken clouds
89,Meulaboh,ID,4.1363,96.1285,77.18,78,57,3.62,broken clouds
90,Fortuna,US,40.5982,-124.1573,63.09,73,27,6.35,scattered clouds
91,Belyy Yar,RU,53.6039,91.3903,60.85,75,0,4.47,clear sky
92,Imbituba,BR,-28.24,-48.6703,65.86,93,76,7.45,broken clouds
93,Pundaguitan,PH,6.3711,126.1689,82.35,75,54,2.39,broken clouds
94,Umm Lajj,SA,25.0213,37.2685,84.76,67,85,9.04,overcast clouds
95,New Norfolk,AU,-42.7826,147.0587,44.92,61,3,1.54,clear sky
96,Atuona,PF,-9.8,-139.0333,78.15,70,61,12.26,broken clouds
97,Deputatskiy,RU,69.3,139.9,32.94,99,100,3.67,overcast clouds
98,Osmanabad,IN,18.1667,76.05,70.77,91,90,8.01,overcast clouds
99,Kenora,CA,49.8167,-94.4337,67.17,94,100,13.8,thunderstorm with light rain
100,Turtas,RU,58.9417,69.1325,60.82,72,100,3.71,overcast clouds
101,Bridlington,GB,54.0831,-0.1919,78.89,64,100,5.5,overcast clouds
102,Puerto Quijarro,BO,-17.7833,-57.7667,74.26,44,85,0.67,overcast clouds
103,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,100,5.75,overcast clouds
104,Salalah,OM,17.0151,54.0924,75.29,100,100,5.75,light intensity drizzle
105,Carballo,ES,43.213,-8.691,64.09,90,100,1.97,overcast clouds
106,Annan,GB,54.9884,-3.2565,64.98,97,20,5.46,few clouds
107,Grand Gaube,MU,-20.0064,57.6608,70.2,79,92,14.0,moderate rain
108,Banda Aceh,ID,5.5577,95.3222,81.21,75,93,14.97,overcast clouds
109,Jensen Beach,US,27.2545,-80.2298,84.04,83,0,1.99,clear sky
110,Yulara,AU,-25.2406,130.9889,60.31,34,0,14.54,clear sky
111,Ingham,US,42.6,-84.3833,81.86,68,64,9.62,broken clouds
112,Luderitz,NA,-26.6481,15.1594,55.74,65,0,19.69,clear sky
113,Hanko,FI,59.8333,22.95,60.67,68,0,16.17,clear sky
114,Cherskiy,RU,68.75,161.3,44.98,61,84,13.11,broken clouds
115,Catamarca,AR,-28.4696,-65.7852,58.77,49,5,4.0,clear sky
116,Yellowknife,CA,62.456,-114.3525,62.78,73,100,8.63,light rain
117,Waingapu,ID,-9.6567,120.2641,78.39,62,17,12.48,few clouds
118,Senno,RU,59.5336,33.9167,54.27,99,100,6.13,light rain
119,Puerto Ayora,EC,-0.7393,-90.3518,68.56,95,62,4.0,broken clouds
120,Henties Bay,NA,-22.116,14.2845,54.88,93,5,13.2,clear sky
121,Chyhyryn,UA,49.0838,32.6555,59.18,86,0,5.1,clear sky
122,Kavieng,PG,-2.5744,150.7967,82.11,75,98,7.99,light rain
123,Avarua,CK,-21.2078,-159.775,77.05,61,40,6.91,scattered clouds
124,Alice Springs,AU,-23.7,133.8833,60.35,36,1,10.36,clear sky
125,Port Elizabeth,ZA,-33.918,25.5701,54.32,99,100,7.0,light rain
126,San Andres,CO,12.5847,-81.7006,82.42,83,75,11.5,broken clouds
127,Camacha,PT,33.0833,-16.3333,67.42,78,40,9.22,scattered clouds
128,Iwanai,JP,42.9744,140.5089,72.54,90,92,3.67,overcast clouds
129,Beidao,CN,34.5686,105.8933,70.68,67,0,0.25,clear sky
130,Puerto Escondido,MX,15.85,-97.0667,82.85,81,52,4.32,broken clouds
131,Teknaf,BD,20.8624,92.3058,81.99,83,100,3.0,overcast clouds
132,Grand Baie,MU,-20.0182,57.5802,70.27,79,31,14.0,moderate rain
133,Sungaipenuh,ID,-2.0833,101.3833,69.64,75,62,0.83,broken clouds
134,Srednekolymsk,RU,67.45,153.6833,52.16,45,89,6.44,overcast clouds
135,Ginir,ET,7.1333,40.7,54.46,82,45,12.06,scattered clouds
136,Kenai,US,60.5544,-151.2583,54.14,89,100,11.5,light rain
137,Tanete,ID,-3.9443,119.7848,83.95,73,87,8.12,overcast clouds
138,Zhob,PK,31.3411,69.4481,81.84,59,0,1.1,clear sky
139,Llanes,ES,43.4198,-4.7549,68.31,88,100,10.16,overcast clouds
140,Airai,TL,-8.9266,125.4092,69.04,47,84,2.62,broken clouds
141,Skibbereen,IE,51.55,-9.2667,58.1,91,2,5.41,clear sky
142,Bairiki,KI,1.3292,172.9752,82.4,83,75,12.66,broken clouds
143,Benguela,AO,-12.5763,13.4055,67.06,88,1,7.87,clear sky
144,Kahului,US,20.8947,-156.47,87.82,45,40,18.41,scattered clouds
145,Saint-Philippe,RE,-21.3585,55.7679,70.21,69,56,20.07,broken clouds
146,Sur,OM,22.5667,59.5289,83.39,81,47,8.55,scattered clouds
147,Vestmannaeyjar,IS,63.4427,-20.2734,51.26,87,84,14.05,broken clouds
148,Nouadhibou,MR,20.931,-17.0347,67.98,94,100,12.66,mist
149,Bridgetown,BB,13.1,-59.6167,81.09,89,40,12.66,scattered clouds
150,Sabha,LY,27.0377,14.4283,78.55,36,2,12.01,clear sky
151,Chuy,UY,-33.6971,-53.4616,45.14,89,0,5.48,clear sky
152,Skjervoy,NO,70.0311,20.9714,46.4,86,47,4.88,scattered clouds
153,Te Anau,NZ,-45.4167,167.7167,40.8,97,100,2.57,overcast clouds
154,Ozinki,RU,51.1786,49.6769,64.38,64,54,5.61,broken clouds
155,Qitaihe,CN,45.8,130.85,75.83,72,45,4.32,scattered clouds
156,Siocon,PH,7.7061,122.1353,85.26,67,15,1.45,few clouds
157,Bilibino,RU,68.0546,166.4372,51.3,52,77,2.73,broken clouds
158,Norman Wells,CA,65.282,-126.8329,75.24,31,40,13.8,scattered clouds
159,Nuevo Progreso,MX,23.1667,-97.95,85.53,62,0,1.99,clear sky
160,Kolobovo,RU,56.702,41.3417,53.28,86,99,7.72,overcast clouds
